trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1124,False,"{'a': 0.5, 'e': 0.432980188431095}",20,3,-13.138743665515692,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
1125,False,"{'a': 0.5, 'e': 0.4320785686541468}",25,0,-54.69968697656551,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
1126,False,"{'a': 0.5, 'e': 0.4311765167986662}",20,5,-26.134718632019943,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
1127,False,"{'a': 0.5, 'e': 0.4302740337667045}",30,10,-35.467004423959125,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
1128,False,"{'a': 0.5, 'e': 0.42937112046074505}",35,21,-6.674726178765866,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
1129,False,"{'a': 0.5, 'e': 0.42846777778370077}",20,14,7.4598166642727195,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1130,False,"{'a': 0.5, 'e': 0.4275640066389146}",20,13,7.361250548384501,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1131,False,"{'a': 0.5, 'e': 0.42665980793015723}",20,0,-40.70551249327709,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
1132,False,"{'a': 0.5, 'e': 0.42575518256162764}",30,22,3.3110944848854738,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1133,False,"{'a': 0.5, 'e': 0.4248501314379508}",20,15,-33.969249230259216,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
1134,False,"{'a': 0.5, 'e': 0.42394465546417814}",25,1,-44.06805370845629,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 0}",1
1135,False,"{'a': 0.5, 'e': 0.42303875554578513}",20,0,-33.31625897456372,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
1136,False,"{'a': 0.5, 'e': 0.422132432588672}",20,0,-109.19495178065263,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
1137,False,"{'a': 0.5, 'e': 0.42122568749916134}",30,21,9.271642411515497,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1138,False,"{'a': 0.5, 'e': 0.42031852118399843}",20,0,-13.328748556116922,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
1139,False,"{'a': 0.5, 'e': 0.4194109345503491}",20,3,-36.37282178151521,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
1140,False,"{'a': 0.5, 'e': 0.41850292850580045}",30,14,-13.193812391870372,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
1141,False,"{'a': 0.5, 'e': 0.41759450395835795}",20,13,-15.092794076492135,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
1142,False,"{'a': 0.5, 'e': 0.4166856618164465}",25,0,23.030554933094766,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
1143,False,"{'a': 0.5, 'e': 0.4157764029889078}",35,0,-89.53330518212866,"{0: 27, 1: 3, 2: 3, 3: 0, 4: 2}",0
1144,False,"{'a': 0.5, 'e': 0.4148667283850009}",25,0,23.461749750853325,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1145,False,"{'a': 0.5, 'e': 0.4139566389144}",25,0,15.7501280285747,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
1146,False,"{'a': 0.5, 'e': 0.4130461354871949}",20,14,-6.131413952105309,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
1147,False,"{'a': 0.5, 'e': 0.4121352190138885}",20,15,-1.439543317152652,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
1148,False,"{'a': 0.5, 'e': 0.41122389040539764}",20,0,-47.53330244055229,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
1149,False,"{'a': 0.5, 'e': 0.4103121505730504}",25,3,-27.796534120085557,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
1150,False,"{'a': 0.5, 'e': 0.40940000042858704}",25,11,-22.379028730030775,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
1151,False,"{'a': 0.5, 'e': 0.40848744088415717}",30,14,-42.39656645812272,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 0}",1
1152,False,"{'a': 0.5, 'e': 0.4075744728523206}",25,11,-33.23933491016171,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1153,False,"{'a': 0.5, 'e': 0.40666109724604504}",30,0,-58.17038215211073,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 2}",0
1154,False,"{'a': 0.5, 'e': 0.40574731497870625}",20,8,0.35096598330120465,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
1155,False,"{'a': 0.5, 'e': 0.4048331269640863}",20,0,-41.80101701666883,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
1156,False,"{'a': 0.5, 'e': 0.40391853411637296}",25,9,3.7388040283780217,"{0: 12, 1: 4, 2: 0, 3: 0, 4: 0}",1
1157,False,"{'a': 0.5, 'e': 0.4030035373501593}",25,0,-13.99412481528056,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
1158,False,"{'a': 0.5, 'e': 0.4020881375804417}",20,0,-13.723973685567138,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
1159,False,"{'a': 0.5, 'e': 0.4011723357226203}",20,16,10.13119014252157,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1160,False,"{'a': 0.5, 'e': 0.4002561326924963}",20,0,-73.94938888265543,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
1161,False,"{'a': 0.5, 'e': 0.3993395294062732}",30,13,-56.86231624922489,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
1162,False,"{'a': 0.5, 'e': 0.3984225267805538}",25,10,-60.20536289235845,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
1163,False,"{'a': 0.5, 'e': 0.397505125732341}",20,0,-37.78891167824429,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
1164,False,"{'a': 0.5, 'e': 0.3965873271790354}",20,3,-28.06621271354322,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
1165,False,"{'a': 0.5, 'e': 0.39566913203843584}",20,0,-24.566462865611378,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
1166,False,"{'a': 0.5, 'e': 0.39475054122873704}",30,20,9.856198090119085,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1167,False,"{'a': 0.5, 'e': 0.3938315556685301}",25,1,3.667908648174348,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 0}",1
1168,False,"{'a': 0.5, 'e': 0.39291217627680014}",20,0,15.721015521996247,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1169,False,"{'a': 0.5, 'e': 0.39199240397292684}",25,11,21.991854149811903,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1170,False,"{'a': 0.5, 'e': 0.391072239676682}",25,0,2.169081957939611,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
1171,False,"{'a': 0.5, 'e': 0.3901516843082303}",20,0,-44.71413030103796,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
1172,False,"{'a': 0.5, 'e': 0.3892307387881266}",20,0,-13.02078667351057,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
1173,False,"{'a': 0.5, 'e': 0.38830940403731673}",25,13,6.218317037393371,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1174,False,"{'a': 0.5, 'e': 0.38738768097713494}",25,7,-24.457640243072337,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
1175,False,"{'a': 0.5, 'e': 0.38646557052930475}",20,3,0.3820817375667007,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
1176,False,"{'a': 0.5, 'e': 0.385543073615936}",25,17,-35.59438733846996,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
1177,False,"{'a': 0.5, 'e': 0.38462019115952595}",20,10,11.535724845154357,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1178,False,"{'a': 0.5, 'e': 0.3836969240829566}",30,18,-5.388294975568002,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
1179,False,"{'a': 0.5, 'e': 0.3827732733094953}",30,13,11.940953982284942,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
1180,False,"{'a': 0.5, 'e': 0.38184923976279245}",25,10,19.67135296808586,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
